"","blockNumber","gas","gasPrice","executionGas","callDataUsage","callDataLength","nonce","to","from","callDataUsageGroups"
"76",15627835,21000,19927887667,21000,0,2,27,3.40274380807449e+44,1.55613697073329e+47,"0"
"77",15627835,21000,20026982740,21000,0,2,28,3.39535218910965e+47,1.55613697073329e+47,"0"
"78",15627835,21000,1.182e+10,21000,0,2,30,2.4046232999724e+47,2.67843290096024e+47,"0"
"79",15627835,21000,9808429050,21000,0,2,6029,1.00241414828583e+48,5.79252055916202e+47,"0"
"80",15627835,21000,9465052305,21000,0,2,3,3.6130741690369e+47,7.61001296153373e+47,"0"
"81",15627835,21000,9351429050,21000,0,2,113033,1.08342733954996e+48,5.50943179065089e+47,"0"
"82",15627835,21000,9308429050,21000,0,2,136,8.58361255176674e+47,1.15524208270615e+48,"0"
"83",15627835,21000,9308429050,21000,0,2,0,1.39857761753381e+48,8.88461851291112e+47,"0"
"84",15627835,21000,8.57e+09,21000,0,2,259896,6.60049414942416e+47,2.35117160975312e+47,"0"
"85",15627835,21000,8442300698,21000,0,2,10,1.25345771266382e+48,1.06979528223981e+47,"0"
"86",15627835,21000,8316225169,21000,0,2,5,2.74923219864291e+46,7.03811751994332e+47,"0"
"87",15627835,21000,8203392042,21000,0,2,1,6.31350447962213e+47,1.30364698753814e+48,"0"
"88",15627835,21000,8203392042,21000,0,2,0,6.31350447962213e+47,1.39423360082277e+48,"0"
"89",15627836,21000,17626271220,21000,0,2,2,1.0133439418241e+48,7.15166005720699e+47,"0"
"90",15627836,21000,9904406328,21000,0,2,42,1.92479249688569e+47,1.10577027471286e+48,"0"
"91",15627836,21000,9626271220,21000,0,2,1211343,1.14142907041981e+47,8.54424926044469e+47,"0"
"92",15627836,21000,9626271220,21000,0,2,6578026,1.07504424731812e+47,1.34246388634388e+48,"0"
"93",15627836,21000,9626271220,21000,0,2,52371,6.40038943349351e+47,7.08480527413187e+47,"0"
"94",15627836,21000,9626271220,21000,0,2,1211344,3.29750159872373e+47,8.54424926044469e+47,"0"
"95",15627836,21000,9626271220,21000,0,2,52372,1.07256304405426e+48,7.08480527413187e+47,"0"
"96",15627836,21000,9626271220,21000,0,2,1211345,1.96681098339955e+47,8.54424926044469e+47,"0"
"97",15627836,21000,9626271220,21000,0,2,469149,6.37971765798383e+47,1.04603461962748e+48,"0"
"98",15627836,21000,9335098514,21000,0,2,1,1.25210823462685e+48,4.63280190157536e+47,"0"
"99",15627836,21000,9335098514,21000,0,2,14,5.14142000047988e+47,1.14468526110966e+48,"0"
"100",15627836,21000,9126271220,21000,0,2,99,1.28681409460927e+48,5.36747427174743e+47,"0"
"101",15627836,21000,9126271220,21000,0,2,221,1.13116699061647e+48,1.17681271675748e+48,"0"
"102",15627836,21000,9126271220,21000,0,2,74,1.45669542131467e+48,5.78426482118522e+47,"0"
"103",15627836,21000,8629769653,21000,0,2,9,1.76028732280895e+47,1.28676459290351e+48,"0"
"104",15627836,21000,8626271220,21000,0,2,205,7.81688740077979e+47,8.41626225283018e+47,"0"
"105",15627836,21000,7995898005,21000,0,2,150319,9.64512238192461e+47,1.62404683469936e+47,"0"
"106",15627836,21000,7629769653,21000,0,2,77,8.46185018381348e+47,2.4578724475464e+47,"0"
"107",15627837,21000,10803582852,21000,0,2,25,3.93847860898503e+46,5.64952594627638e+47,"0"
"108",15627837,21000,9904406328,21000,0,2,116,1.21477743543404e+48,1.3016992340111e+48,"0"
"109",15627837,21000,9303582852,21000,0,2,321,2.98032777025559e+47,1.23033061392934e+48,"0"
"110",15627837,21000,9303582852,21000,0,2,136,1.42551157889837e+48,1.17749311611185e+46,"0"
"111",15627837,21000,8803582852,21000,0,2,8265743,4.84803231622131e+47,1.03815236997199e+48,"0"
"112",15627837,21000,8803582852,21000,0,2,469150,7.10422334806954e+47,1.04603461962748e+48,"0"
"113",15627837,21000,8803582852,21000,0,2,346916,1.6542245637809e+47,6.81720862102516e+47,"0"
"114",15627837,21000,8803582852,21000,0,2,1783200,1.71308665792871e+44,4.57971639416164e+47,"0"
"115",15627837,21000,8803582852,21000,0,2,1211346,1.73924303016056e+47,8.54424926044469e+47,"0"
"116",15627837,21000,8803582852,21000,0,2,469151,1.41296532234408e+48,1.04603461962748e+48,"0"
"117",15627837,21000,8803582852,21000,0,2,52373,1.27440130323192e+48,7.08480527413187e+47,"0"
"118",15627837,21000,8803582852,21000,0,2,6578027,3.35415391652798e+47,1.34246388634388e+48,"0"
"119",15627837,21000,8803582852,21000,0,2,10,3.47341241061203e+47,2.49134555816499e+46,"0"
"120",15627838,21000,4.5e+10,21000,0,2,27,1.07144550063394e+48,8.14755248102664e+47,"0"
"121",15627838,21000,10284482681,21000,0,2,0,7.21122754550369e+47,6.60863403895876e+47,"0"
"122",15627838,21000,9616855726,21000,0,2,19,4.04725568676867e+47,1.235031025923e+48,"0"
"123",15627838,21000,9116855726,21000,0,2,12,5.57590864497917e+47,7.22124232519167e+46,"0"
"124",15627838,21000,9116855726,21000,0,2,1,1.41934169623423e+48,2.39400305429241e+47,"0"
"125",15627838,21000,9116855726,21000,0,2,0,1.41934169623423e+48,1.07969861476743e+48,"0"
"126",15627838,21000,8617855726,21000,0,2,56932,3.90658695356275e+47,9.25438321071625e+47,"0"
"127",15627838,21000,8616855726,21000,0,2,185,1.13116699061647e+48,1.36342669664217e+48,"0"
"128",15627838,21000,8616855726,21000,0,2,33,1.43739880539611e+48,1.79846417668697e+47,"0"
"129",15627838,21000,8616855726,21000,0,2,6,8.05464304723185e+47,2.16521949194973e+47,"0"
"130",15627838,21000,8616855726,21000,0,2,39,3.57392003818178e+47,5.50775765858801e+47,"0"
"131",15627838,21000,8616855726,21000,0,2,9,5.41973084951541e+47,1.00466176643776e+48,"0"
"132",15627838,21000,8616855726,21000,0,2,1,1.41858141180999e+48,1.21849861305804e+48,"0"
"133",15627838,21000,8616855726,21000,0,2,224,1.1973256484949e+48,2.29665550658787e+46,"0"
"134",15627838,21000,8616855726,21000,0,2,161,7.39389270491576e+47,6.07831306193422e+47,"0"
"135",15627838,21000,8616855726,21000,0,2,156,1.13116699061647e+48,5.30920939939717e+47,"0"
"136",15627838,21000,8616855726,21000,0,2,241,1.00747854648854e+47,4.98257702029022e+47,"0"
"137",15627838,21000,8116855726,21000,0,2,28,3.47341241061203e+47,5.90246062614416e+47,"0"
"138",15627838,21000,8116855726,21000,0,2,6,3.47341241061203e+47,3.4017110197207e+47,"0"
"139",15627838,21000,8116855726,21000,0,2,0,3.47341241061203e+47,8.75678479536383e+47,"0"
"140",15627838,21000,8116855726,21000,0,2,5,3.47341241061203e+47,6.2894589787368e+47,"0"
"141",15627838,21000,8116855726,21000,0,2,0,3.47341241061203e+47,9.39442922900264e+46,"0"
"142",15627838,21000,8116855726,21000,0,2,0,3.47341241061203e+47,1.05329377691393e+48,"0"
"143",15627838,21000,8116855726,21000,0,2,0,3.47341241061203e+47,1.29765572325387e+48,"0"
"144",15627838,21000,8116855726,21000,0,2,4,3.47341241061203e+47,2.05209643341884e+47,"0"
"145",15627838,21000,8116855726,21000,0,2,0,3.47341241061203e+47,1.2711721908512e+48,"0"
"146",15627838,21000,8116855726,21000,0,2,469152,5.22237626239758e+46,1.04603461962748e+48,"0"
"147",15627838,21000,8116855726,21000,0,2,8265744,1.08256457967215e+48,1.03815236997199e+48,"0"
